name,url,country,pageid,revid,ores
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,19887970,994501003,Stub
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,49011996,1091800566,Start
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,52237560,1094050369,Start
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,30319287,1110580984,C
Dervish Biçaku,https://en.wikipedia.org/wiki/Dervish_Biçaku,Albania,19887852,1106794267,Stub
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,40754760,1107876476,C
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,62554029,1098235893,Start
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,28634810,1067080697,C
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,60567913,1087272778,Start
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,31301973,1061419179,Start
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,15675174,1095178618,Start
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,41892010,1114418989,Start
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,48684644,1087026828,Start
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,27166018,1104589367,Stub
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,20381110,1101365003,Start
Fuad Dibra,https://en.wikipedia.org/wiki/Fuad_Dibra,Albania,36327458,1079550815,Start
Isuf Dibra,https://en.wikipedia.org/wiki/Isuf_Dibra,Albania,70309182,1108975040,Start
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,51293921,1112281152,C
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,28065431,1114424802,Stub
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,28077287,1067061654,Stub
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,41877968,1101927317,C
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,26992194,1092914547,GA
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,41985495,1114425909,B
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,20380987,1073827690,Start
Bajram Fevziu,https://en.wikipedia.org/wiki/Bajram_Fevziu,Albania,70364199,1089008480,Start
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,32349690,1015553118,Stub
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,30489046,1099714241,C
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,30559670,1105835401,C
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,27373846,1095879069,C
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,36774890,1104696112,GA
Albulena Haxhiu,https://en.wikipedia.org/wiki/Albulena_Haxhiu,Albania,43297113,1095286065,Stub
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,32349836,1107096289,C
Spiridon Kacarosi,https://en.wikipedia.org/wiki/Spiridon_Kacarosi,Albania,33873871,993288548,Stub
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,19887779,998414015,Stub
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,30069896,979382854,Stub
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,20381295,1098236555,Stub
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,65554476,1053849574,Start
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,26297658,1069956844,C
Belind Këlliçi,https://en.wikipedia.org/wiki/Belind_Këlliçi,Albania,67678471,1114971095,C
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,17273406,1098232331,Start
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,44712134,1071577370,C
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,18022058,919356105,Start
Ali Riza Kolonja,https://en.wikipedia.org/wiki/Ali_Riza_Kolonja,Albania,70362342,1095185542,Start
Glauk Konjufca,https://en.wikipedia.org/wiki/Glauk_Konjufca,Albania,31975455,1110511667,Start
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,19887745,1106794268,Stub
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,40795168,1113466121,Start
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,31509315,1112281132,Stub
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,70365511,1080104315,Start
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,28362818,1071576324,Stub
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,10398792,1114419158,C
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,25589553,1112281218,Start
Fatmir Mediu,https://en.wikipedia.org/wiki/Fatmir_Mediu,Albania,12886933,1108640753,Stub
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,22352985,1111101481,Start
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,58108950,1085455681,GA
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,32349706,1091483288,Stub
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,30070258,1114419169,Stub
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,5494953,1112281129,Start
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,33944243,1074384873,Start
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,30250352,1114419178,Start
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,19888020,1080373501,C
Pertef Pogoni,https://en.wikipedia.org/wiki/Pertef_Pogoni,Albania,30490398,1071576384,Stub
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,41883528,1115424613,Start
Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,15757646,1114419180,Start
Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,14069803,1113688253,C
Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,9088115,1089622596,C
Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,19887761,978173646,Stub
Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,31573475,1090651886,Start
Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,54102033,1002857261,Stub
Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,68783046,1090001664,B
Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,71208531,1110419834,Start
Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,28382311,1089358942,Stub
Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,27611512,1114899959,GA
Pavli Terka,https://en.wikipedia.org/wiki/Pavli_Terka,Albania,70312692,1107079359,Start
Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,63869149,1091240960,Stub
Sejfi Vllamasi,https://en.wikipedia.org/wiki/Sejfi_Vllamasi,Albania,6949696,1073823015,Start
Syrja Vlora,https://en.wikipedia.org/wiki/Syrja_Vlora,Albania,19887929,1109383587,Start
Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,41653012,1115321286,C
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,31973610,1036757024,Stub
Abdyl Ypi,https://en.wikipedia.org/wiki/Abdyl_Ypi,Albania,61607609,1075914314,Stub
Xhezair Zaganjori,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,Albania,20381423,1106753028,Start
Menduh Zavalani,https://en.wikipedia.org/wiki/Menduh_Zavalani,Albania,55668009,1071577719,GA
Said Abadou,https://en.wikipedia.org/wiki/Said_Abadou,Algeria,59103818,1112193748,Stub
Tahar Allan,https://en.wikipedia.org/wiki/Tahar_Allan,Algeria,59046631,1059626268,Stub
Mohamed Seghir Babes,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,Algeria,59079383,1079379844,Stub
Djelloul Baghli,https://en.wikipedia.org/wiki/Djelloul_Baghli,Algeria,59079230,1053461392,Stub
Noureddine Bahbouh,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,Algeria,59012695,1099284595,Stub
Lamine Bechichi,https://en.wikipedia.org/wiki/Lamine_Bechichi,Algeria,59103836,1111537825,Stub
Bakhti Belaïb,https://en.wikipedia.org/wiki/Bakhti_Belaïb,Algeria,53008015,1107713309,Stub
Mohamed Belouizdad,https://en.wikipedia.org/wiki/Mohamed_Belouizdad,Algeria,54516484,1102331624,Start
Mourad Benachenou,https://en.wikipedia.org/wiki/Mourad_Benachenou,Algeria,59103542,1091746754,Stub
Benaouda Hadj Hacène Bachterzi,https://en.wikipedia.org/wiki/Benaouda_Hadj_Hacène_Bachterzi,Algeria,54801060,1064464792,Stub
Souad Bendjaballah,https://en.wikipedia.org/wiki/Souad_Bendjaballah,Algeria,55843103,1064463751,Stub
Mohammed Saleh Bendjelloul,https://en.wikipedia.org/wiki/Mohammed_Saleh_Bendjelloul,Algeria,54800721,1064459314,Stub
Mohamed Bensalam,https://en.wikipedia.org/wiki/Mohamed_Bensalam,Algeria,59103577,1053464158,Stub
Said Boualam,https://en.wikipedia.org/wiki/Said_Boualam,Algeria,19132132,1104123484,Start
Abdeslam Bouchouareb,https://en.wikipedia.org/wiki/Abdeslam_Bouchouareb,Algeria,50042323,1053459025,Stub
Brahim Chibout,https://en.wikipedia.org/wiki/Brahim_Chibout,Algeria,59054253,1053460621,Stub
Bouras Djamel,https://en.wikipedia.org/wiki/Bouras_Djamel,Algeria,67257964,1072064909,Stub
Ahmed Djebbar,https://en.wikipedia.org/wiki/Ahmed_Djebbar,Algeria,59054186,1112131049,Stub
Fatiha Serour,https://en.wikipedia.org/wiki/Fatiha_Serour,Algeria,40934630,1019766063,Start
Mohamed Hassaïne,https://en.wikipedia.org/wiki/Mohamed_Hassaïne,Algeria,67243075,1098798192,C
Ibrahim Boughali,https://en.wikipedia.org/wiki/Ibrahim_Boughali,Algeria,69357237,1110540602,Stub
Abdenour Keramane,https://en.wikipedia.org/wiki/Abdenour_Keramane,Algeria,59079524,1028900906,Stub
Abelkader Khamri,https://en.wikipedia.org/wiki/Abelkader_Khamri,Algeria,59054457,1088927932,Stub
Mahmoud Khedri,https://en.wikipedia.org/wiki/Mahmoud_Khedri,Algeria,69719801,1102198843,Stub
Mohamed Laïchoubi,https://en.wikipedia.org/wiki/Mohamed_Laïchoubi,Algeria,59103419,1053469601,Stub
Sassi Lamouri,https://en.wikipedia.org/wiki/Sassi_Lamouri,Algeria,59079334,1053478920,Stub
Mohamed Maghlaoui,https://en.wikipedia.org/wiki/Mohamed_Maghlaoui,Algeria,59103344,1053469610,Stub
Amar Makhloufi,https://en.wikipedia.org/wiki/Amar_Makhloufi,Algeria,59046398,1053459748,Stub
Hacen Mefti,https://en.wikipedia.org/wiki/Hacen_Mefti,Algeria,59046583,1053461924,Stub
Mokhtar Meherzi,https://en.wikipedia.org/wiki/Mokhtar_Meherzi,Algeria,59046669,1028900891,Stub
Mohamed Elias Mesli,https://en.wikipedia.org/wiki/Mohamed_Elias_Mesli,Algeria,59054318,1009461580,Stub
Azzedine Mihoubi,https://en.wikipedia.org/wiki/Azzedine_Mihoubi,Algeria,52461596,1031600815,Start
Cherif Rahmani,https://en.wikipedia.org/wiki/Cherif_Rahmani,Algeria,59103471,1053461144,Stub
Naima Salhi,https://en.wikipedia.org/wiki/Naima_Salhi,Algeria,69509983,1113203380,Stub
Guillem d'Areny-Plandolit,https://en.wikipedia.org/wiki/Guillem_d'Areny-Plandolit,Andorra,57325817,1100710928,FA
Guillem Areny,https://en.wikipedia.org/wiki/Guillem_Areny,Andorra,66250362,1101200095,Stub
Joan Armengol,https://en.wikipedia.org/wiki/Joan_Armengol,Andorra,63134257,1105550472,Stub
Francesc Badia Batalla,https://en.wikipedia.org/wiki/Francesc_Badia_Batalla,Andorra,63104127,1102180575,Stub
Josep Maria Beal,https://en.wikipedia.org/wiki/Josep_Maria_Beal,Andorra,62451945,1104772844,Stub
